sid_name,served_arpt,fixes
ACCRA5.ACCRA,57C BUU ENW ETB HXF MKE MWC RAC UES,FANZI WENUL KAJJY LVENS HHHUL ACCRA
ACONY3.ACONY,SJU,ACONY PALDE
ADAMM3.ADAMM,VNY,ADAMM
ADELL7.ADELL,ARR DPA GYY LOT,ACITO ADELL
ADEXE1.ADEXE,MAN,ADEXE
ADIBE1.ADIBE,U34,ADIBE
ADYOS3.ADYOS,ABQ,ADYOS
AEROZ2.AEROZ,3R9 AUS EDC GTU HYI RYW T74,AMUSE AEROZ
AFTON4.GIGSE,AFO,WOLEN FRIDM GIGSE
AGERS1.AGERS,FLL,AGERS
AHEHU3.AHEHU,SMN,OMIXE AHEHU
AHMET4.KKIDS,BKL CGF LNN LPR,AHMET KKIDS
AJOFY1.AJOFY,CJX,UWUHI AJOFY
AKIAK1.BET,AKI,WEEKE BET
AKUMY5.AKUMY,AKP,MUSDE FIIAT INTON BOHNU AGEME AKUMY
AKUNA9.AKUNA,DFW,AKUNA
ALAMO5.ALAMO,SAT SSF,SAT
ALCOS6.ALCOS,CPR,ALCOS
AEX3.AEX,AXH CXO DWH EFD GLS HOU IAH IWS LBX SGR T41 TME,RAECN VELCO AEX
ALIAN2.ALIAN,DFW,RBBIT FUMED ALIAN
ALISS7.ALISS,5C1 BAZ CVB PEZ RND SAT SKF SSF,TREVA TATAR ALISS
ALKAL1.ALKAL,U76,ALKAL
ALMDN4.ALMDN,SJC,NEVSE KIELY ALMDN
ALMON1.ALMON,RYN,ALMON
ALPIN4.KICNE,JAC,KICNE
ALPYN1.ALPYN,RNO,NSTAR ALPYN
ALTNN2.ALTNN,HST MIA OPF TMB X51,AGERS PERTS ALTNN
AHC1.AHC,SVE,AHC
AMEEE1.AMEEE,DCA,AMEEE
AMERY4.AMERY,KOA,AMERY
ANAHM1.SLI,FUL LGB SNA,SLI
ANEKE2.CELAV,AXX,MIDAE ANEKE BOPLE CELAV
ANGIL1.ANGIL,8S1,TEPSE ANGIL
ARCHZ1.ARCHZ,SLC,SCANT ARCHZ
ARDIA7.ARDIA,DFW,ARDIA
ARSNL5.CSN,HEF,CSN
ASORT2.ASORT,JNU,CGL BARLO LYNNS CUSHI ASORT
AST3.AST,AST,AST
ATASY3.ATASY,TDO,ATASY
ATKNN5.ATKNN,ELP,ATKNN
ATOMK3.ATOMK,ABQ,FOXRR TYWEB TKILA FIREY ATOMK
AUREL4.SIRPE,SUN,AMOME SIRPE
AUTMN6.AUTMN,MEM,SHAAA AUTMN
AVE1.AVE,C80,AVE
AVILA4.AVILA,SBP,AVILA
AZALA4.AZALA,DNL HQU,NKLAS AMENN AZALA
AZONE7.AZONE,MEM,TOWND AZONE
BACHS2.BACHS,AAT,BACHS
BACMY2.BACMY,CEM,BACMY
BALDY3.MAXXO,PHX,GILAA ADYAN MAXXO
BANGR9.BANGR,SEA,BANGR
BANNG3.BANNG,ATL,BANNG
BANZI1.BANZI,HNL,BANZI LHAKE
BARII3.BARII,ARB DET DTW MTC ONZ OZW PTK TTF VLL YIP,HUUTZ BARII
BARMY5.BARMY,AKH CLT EQY IPJ JQF LKR RUQ UZA VUJ,MESHY GULFY BARMY
BAYLR6.BAYLR,DEN,WAKIR TUULO HLTON MTSUI BAYLR
BAYPO2.BAYPO,PIE TPA,FINKI BAYPO
BBKNG7.BBKNG,MEM,LEOOO BBKNG
BEACH4.BEACH,OGG,BEACH
1U71.LUNDI,1U7,PAPIE
BEAVY6.BEAVY,AKH CLT EQY IPJ JQF LKR RUQ UZA VUJ,UGANG BEAVY
BEMAR3.BEMAR,BCB,BEMAR
BDN2.BDN,BDN,DSD
KUDD1.KUDD,UDD,TRM
BERNI3.BERNI,HIO,BERNI
BERYY5.BERYY,STL,BERYY
BET2.BET,KWT,BET
BTT2.BTT,CXF,ZUVUB BTT
BEVVR1.BEVVR,EGE,COPER HNDES BEVVR APRES
BEXGO5.BEXGO,RDU,AIMHI BEXGO
BGOOD5.BGOOD,STL,BGOOD
BGSKY2.BGSKY,BZN,BGSKY
BIBNE3.BIBNE,MDM,BIBNE
BGQ2.BGQ,UUO,BGQ
BIMMR3.BIMMR,GMU GSP GYH SPA,ZNTRM ZZCAR BIMMR
BINAL2.BINAL,OUL,BINAL
BINKY6.BINKY,MEM,IMABE BINKY
BKA4.BKA,SIT,BKA
BIXBY1.BIXBY,RFD,BODEE BIXBY
BKT1.BKT,BKT,BKT
BLECO8.BLECO,DFW,BLECO
BLOKR7.BLOKR,ARR DPA GYY LOT,BACEN BLOKR
BLTWY7.BLTWY,54T 6R3 ARM AXH BYY CXO DWH EFD GLS HOU HPY IAH IWS LBX LVJ SGR T00 T41 T78 TME,DREMR LITLD BLTWY
HBU3.HBU,MTJ,HBU
BLUSH2.BLUSH,MKK,BLUSH
BLZZR6.BLZZR,BOS,BLZZR
BMRNG4.BMRNG,SJC,GRRIF BMRNG
BNDIA3.BNDIA,3R9 AUS EDC GTU HYI RYW T74,GARDS BNDIA
