star_name,served_arpt,fixes
AALAN.BLAID2,LAS,AALAN BLAID
AALLE.AALLE4,DEN,AALLE HEDDD
AARCH.AARCH2,STL,AARCH PETTI
AAVON.AAVON1,EGE HDN RIL,AAVON
ADYMS.ADYMS3,TCM,ADYMS WHYTE WEBIM WRKHS MUIRE ROCCI ALDER
AGUDE.AGUDE5,21D ANE CFE FBL FCM GYL LVN MGG MIC OEO RNH SGS STP,AGUDE GEP
AIRBL.DNKIN1,5C1 BAZ CVB PEZ RND SAT SKF SSF,AIRBL FOLLK DNKIN
ALCRN.ALCRN1,CRG JAX NIP NRB VQQ,ALCRN
ALEXS.ALEXS1,RFD,ALEXS FRDEE
ALWYZ.FRDMM6,ADW DAA DCA,ALWYZ
ALYNA.ALYNA4,ISM LEE MCO ORL SFB,ALYNA
AML.NUMMY3,ADW DAA DCA,AML
AMMOR.OLAAA2,LAX,AMMOR RNCHO REGGO CYNDE OLAAA PESOZ MADOW TOZEK SLI TRNDO
AMMOR.SNSTT2,LAX,AMMOR RNCHO SNSTT SOLAY LAHVA LAAMP SNDDR SEAVU
AMOTT.AMOTT4,ANC,AMOTT TED
AMRVR.AMRVR2,MHR,AMRVR GEKNE SAKOC JACII HNW
AMYLU.AMYLU3,CHS JZI,AMYLU WILIT CRAAW FOURD RSRVE
ANAHO.ANAHO2,RNO,ANAHO
ANCHR.DLAMP8,SDF,ANCHR DLAMP
ANJLL.ANJLL4,LAX,ANJLL CAANN BOYEL CRCUS
ANJLL.BIGBR3,LAX,ANJLL KAOSS TOLLA SLACR BIGBR
ANNEY.ANNEY5,07FA HST MIA TMB X51,ANNEY HILEY KAINS VKZ
APE.DANEI3,DAY FFO MGY MWO SGH,DANEI
APLES.EMMLN1,FUL HHR LGB SLI SNA,APLES CAPTZ RRIZE
ARKOE.ARKOE1,RIV,ARKOE
ARLIN.ARLIN4,CHD DVT FFZ IWA P19 PHX SDL,ARLIN
ARRIE.ARRIE9,TCM,ARRIE CUBIT
AWDAD.AWDAD1,MSY NEW,AWDAD VOODO
AWSON.DEHAN3,6A2 CCO CTJ CVC D73 FFC FTY HMP LZU MGE PDK PUJ RYY VPC,AWSON DEHAN TFALS
AXXIS.GIGGY2,CYQG DET ONZ TTF,AXXIS AUTTO GIGGY
AXXIS.OKLND1,ARB OZW PTK VLL YIP,AXXIS FAEGO RIPPY OKLND
BAGGY.BAGGY3,CHS JZI,BAGGY DDENA
BAINY.BAINY3,MSP,BAINY LUCCY SAUGR
BAMBO.INOYI1,HNL,BAMBO IHNET INOYI
BANGZ.BANGZ2,CLW PIE SPG SRQ VNC,BANGZ KIDLE
BANKR.BANKR5,CLT,BANKR DEBBT
BARET.BARET5,NZY SAN,BARET
BASET.BASET5,LAX,BASET DOWNE REEDR
BAUBB.BAUBB3,LGB,BAUBB STYFF KAYNN
BAYBI.SUNSS8,CHD DVT FFZ GEU GYR IWA P19 SDL,BAYBI SUNSS
BAYST.BAYST1,LAX,BAYST JUUSE CLIFY DWYER AYYYY PETYR
BAYYY.BAYYY5,HOU,BAYYY PUCKS FRDDY FIGGG
BAYYY.PUCKS4,HOU,BAYYY PUCKS
BAYYY.SOULL1,IAH,BAYYY SOULL
